completion,prompt
" Your: None
sponsor: Organization
must: None
be: None
recognised: None
by: None
the: None
UK: None
government: Organization
to: None
issue: None
certificates: None
of: None
sponsorship: None
.: None

###","Your sponsor must be recognised by the UK government to issue certificates of sponsorship .

###

"
" You: None
have: None
to: None
pay: None
tax: None
on: None
it: None
if: None
your: None
income: Finance
is: None
over: None
the: None
Personal: Finance
Allowance: Finance
.: None

###","You have to pay tax on it if your income is over the Personal Allowance .

###

"
" The: None
basic: None
State: Finance
Pension: Finance
is: None
usually: None
paid: None
every: Event
4: Event
weeks: Event
into: None
an: None
account: None
of: None
your: None
choice: None
.: None

###","The basic State Pension is usually paid every 4 weeks into an account of your choice .

###

"
" Examples: None
Half: None
of: None
your: None
mobile: Form
phone: Form
calls: Form
are: None
private: None
.: None

###","Examples Half of your mobile phone calls are private .

###

"
" If: None
you: None
’: None
ve: None
been: None
automatically: None
enrolled: None
You: None
and: None
your: None
employer: Person
must: None
pay: None
a: None
percentage: None
of: None
your: None
earnings: Finance
into: None
your: None
workplace: Finance
pension: Finance
scheme: Finance
.: None

###","If you ’ ve been automatically enrolled You and your employer must pay a percentage of your earnings into your workplace pension scheme .

###

"
" Employer: None
helpline: None
0800: None
916: None
0614: None
Monday: None
to: None
Friday: None
8am: None
to: None
7: None
:: None
30pm: None
Saturday: None
9am: None
to: None
4pm: None
Find: None
out: None
about: None
call: Finance
charges: Finance
This: None
helpline: None
is: None
for: None
DWP: None
deductions: None
only: None
.: None

###","Employer helpline 0800 916 0614 Monday to Friday 8am to 7 : 30pm Saturday 9am to 4pm Find out about call charges This helpline is for DWP deductions only .

###

"
" They: None
’: None
ll: None
decide: None
if: None
your: None
child: Person
should: None
start: Event
in: None
reception: None
year: None
or: None
year: None
1: None
.: None

###","They ’ ll decide if your child should start in reception year or year 1 .

###

"
" After: None
the: None
meeting: Event
-: None
or: None
appeal: None
if: None
there: None
is: None
one: None
-: None
decide: None
whether: None
to: None
give: None
the: None
employee: Person
a: None
further: None
chance: None
to: None
improve: None
or: None
dismiss: None
them: None
.: None

###","After the meeting - or appeal if there is one - decide whether to give the employee a further chance to improve or dismiss them .

###

"
" After: None
a: None
hearing: Event
of: None
the: None
evidence: None
you: None
should: None
let: None
the: None
employee: Person
know: None
your: None
decision: Event
in: Contact
writing: Contact
.: None

###","After a hearing of the evidence you should let the employee know your decision in writing .

###

"
" Read: None
the: None
Acas: None
guide: Contact
on: None
conciliation: None
for: None
more: None
information: None
.: None

###","Read the Acas guide on conciliation for more information .

###

"
" You: None
could: None
get: None
more: None
pay: None
if: None
your: None
employer: Organization
has: None
a: None
company: Misc
paternity: Misc
scheme: Misc
-: None
they: None
cannot: None
offer: None
you: None
less: None
than: None
the: None
statutory: None
amounts: None
.: None

###","You could get more pay if your employer has a company paternity scheme - they cannot offer you less than the statutory amounts .

###

"
" Your: None
courier: None
or: None
freight: None
forwarder: None
will: None
use: None
your: None
commercial: None
invoice: None
to: None
make: None
an: None
official: None
customs: Form
declaration: Form
.: None

###","Your courier or freight forwarder will use your commercial invoice to make an official customs declaration .

###

"
" HEIs: Organization
can: None
choose: None
how: None
to: None
assess: None
a: None
student: Person
’: None
s: None
knowledge: None
of: None
English: Misc
.: None

###","HEIs can choose how to assess a student ’ s knowledge of English .

###

"
" Ask: None
a: None
Jobcentre: Organization
Plus: Organization
adviser: Person
to: None
assess: None
you: None
and: None
apply: None
on: None
your: None
behalf: None
if: None
you: None
’: None
re: None
unable: None
to: None
speak: None
on: None
the: None
phone: None
.: None

###","Ask a Jobcentre Plus adviser to assess you and apply on your behalf if you ’ re unable to speak on the phone .

###

"
" Non: None
-: None
excluded: None
tenancy: None
or: None
licence: None
Your: None
landlord: Person
can: None
end: None
the: None
let: None
at: None
any: None
time: None
by: None
serving: None
a: None
written: None
‘: None
notice: None
to: None
quit: None
’: None
.: None

###","Non - excluded tenancy or licence Your landlord can end the let at any time by serving a written ‘ notice to quit ’ .

###

"
" The: None
property: None
should: None
be: None
sold: None
at: None
the: None
full: None
market: None
price: None
agreed: None
between: None
you: None
and: None
the: None
landlord: Person
.: None

###","The property should be sold at the full market price agreed between you and the landlord .

###

"
" Returning: None
to: None
the: None
UK: Location
Contact: None
the: None
Pension: Organization
Service: Organization
-: None
you: None
need: None
your: None
return: None
date: None
and: None
contact: None
details: None
both: None
abroad: Location
and: None
in: None
the: None
UK: Location
.: None

###","Returning to the UK Contact the Pension Service - you need your return date and contact details both abroad and in the UK .

###

"
" You: None
might: None
not: None
get: None
any: None
grant: Finance
if: None
you: None
start: None
work: None
on: None
your: None
property: None
before: None
the: None
council: Organization
approves: None
your: None
application: None
.: None

###","You might not get any grant if you start work on your property before the council approves your application .

###

"
" Act: None
now: None
so: None
you: None
can: None
travel: None
as: None
planned: None
.: None

###","Act now so you can travel as planned .

###

"
" Dealing: None
with: None
bailiffs: Person
You: None
usually: None
do: None
not: None
have: None
to: None
open: None
your: None
door: None
to: None
a: None
bailiff: Person
or: None
let: None
them: None
in: None
.: None

###","Dealing with bailiffs You usually do not have to open your door to a bailiff or let them in .

###

"
" EL: None
insurance: None
will: None
help: None
you: None
pay: None
compensation: None
if: None
an: None
employee: Person
is: Event
injured: Event
or: None
becomes: None
ill: None
because: None
of: None
the: None
work: None
they: None
do: None
for: None
you: None
.: None

###","EL insurance will help you pay compensation if an employee is injured or becomes ill because of the work they do for you .

###

"
" Adult: Misc
Dependency: Misc
Increase: Misc
closed: None
to: None
new: None
applications: None
in: None
2010: Date
.: None

###","Adult Dependency Increase closed to new applications in 2010 .

###

"
" Appeals: None
You: None
can: None
appeal: None
to: None
the: None
court: Organization
if: None
your: None
petition: None
is: None
rejected: None
.: None

###","Appeals You can appeal to the court if your petition is rejected .

###

"
" If: None
you: None
do: None
have: None
to: None
make: None
redundancies: Event
you: None
can: None
get: None
help: None
from: None
Jobcentre: Organization
Plus: Organization
.: None

###","If you do have to make redundancies you can get help from Jobcentre Plus .

###

"
" Your: None
company: Location
address: Location
will: None
be: None
publicly: None
available: None
on: None
the: None
online: None
register: None
.: None

###","Your company address will be publicly available on the online register .

###

"
" You: None
must: None
tell: None
the: None
Pension: Misc
Service: Misc
if: None
you: None
’: None
re: None
on: None
benefits: Finance
and: None
you: None
want: None
to: None
defer: None
.: None

###","You must tell the Pension Service if you ’ re on benefits and you want to defer .

###

"
